,date,close,high,low,open,volume
814,2018-05-07 00:00:00+05:30,1215.25,1220.8,1180.0,1192.0,728801
815,2018-05-08 00:00:00+05:30,1209.9,1224.0,1205.0,1219.0,627060
816,2018-05-09 00:00:00+05:30,1222.55,1229.1,1197.6,1197.6,729538
817,2018-05-10 00:00:00+05:30,1217.7,1238.0,1207.5,1232.0,1904962
818,2018-05-11 00:00:00+05:30,1286.45,1291.9,1229.85,1237.0,4723019
819,2018-05-14 00:00:00+05:30,1297.35,1305.0,1268.6,1285.0,1553283
820,2018-05-15 00:00:00+05:30,1314.65,1323.45,1288.8,1291.0,1368261
821,2018-05-16 00:00:00+05:30,1323.7,1332.0,1300.85,1305.15,736281
822,2018-05-17 00:00:00+05:30,1309.45,1330.0,1303.55,1313.15,751423
823,2018-05-18 00:00:00+05:30,1308.35,1316.4,1287.6,1305.0,939743
824,2018-05-21 00:00:00+05:30,1301.7,1314.7,1290.85,1305.0,692442
825,2018-05-22 00:00:00+05:30,1286.85,1302.0,1279.0,1298.0,708573
826,2018-05-23 00:00:00+05:30,1278.6,1292.15,1269.6,1281.0,509522
827,2018-05-24 00:00:00+05:30,1293.6,1302.9,1263.0,1277.1,774173
828,2018-05-25 00:00:00+05:30,1292.35,1310.0,1280.0,1300.0,773652
829,2018-05-28 00:00:00+05:30,1321.85,1331.9,1291.55,1294.5,657272
830,2018-05-29 00:00:00+05:30,1299.5,1330.0,1289.0,1326.0,769331
831,2018-05-30 00:00:00+05:30,1293.85,1300.95,1283.35,1290.0,478025
832,2018-05-31 00:00:00+05:30,1304.65,1311.7,1287.0,1300.2,1400776
833,2018-06-01 00:00:00+05:30,1293.05,1310.0,1290.8,1307.0,368820
834,2018-06-04 00:00:00+05:30,1284.45,1297.5,1265.0,1295.0,939794
835,2018-06-05 00:00:00+05:30,1273.6,1293.3,1270.55,1276.25,524237
836,2018-06-06 00:00:00+05:30,1262.8,1270.9,1245.05,1270.9,1211557
837,2018-06-07 00:00:00+05:30,1290.8,1297.0,1256.0,1270.15,701247
838,2018-06-08 00:00:00+05:30,1278.85,1288.55,1272.0,1275.0,442333
839,2018-06-11 00:00:00+05:30,1283.3,1295.9,1275.2,1279.0,373098
840,2018-06-12 00:00:00+05:30,1287.7,1292.0,1275.2,1278.55,401090
841,2018-06-13 00:00:00+05:30,1286.4,1292.75,1281.95,1290.0,566241
842,2018-06-14 00:00:00+05:30,1286.1,1289.65,1270.0,1280.45,507824
843,2018-06-15 00:00:00+05:30,1282.2,1286.65,1268.1,1284.9,1048699
844,2018-06-18 00:00:00+05:30,1282.05,1289.65,1271.0,1289.4,512049
845,2018-06-19 00:00:00+05:30,1269.2,1287.65,1265.0,1273.0,572488
846,2018-06-20 00:00:00+05:30,1271.3,1275.0,1260.0,1275.0,484907
847,2018-06-21 00:00:00+05:30,1253.0,1279.9,1246.0,1272.0,1179247
848,2018-06-22 00:00:00+05:30,1267.7,1273.55,1240.2,1261.5,646452
849,2018-06-25 00:00:00+05:30,1253.45,1272.1,1249.3,1268.0,936253
850,2018-06-26 00:00:00+05:30,1274.6,1279.85,1253.0,1255.0,1262632
851,2018-06-27 00:00:00+05:30,1267.15,1285.0,1263.0,1279.15,857951
852,2018-06-28 00:00:00+05:30,1268.4,1273.45,1250.0,1267.15,729637
853,2018-06-29 00:00:00+05:30,1264.45,1271.1,1252.15,1268.25,622680
854,2018-07-02 00:00:00+05:30,1293.05,1297.95,1261.0,1266.5,1437438
855,2018-07-03 00:00:00+05:30,1291.85,1308.6,1288.1,1298.6,1399979
856,2018-07-04 00:00:00+05:30,1289.8,1299.95,1282.75,1296.0,619316
857,2018-07-05 00:00:00+05:30,1321.4,1330.0,1278.3,1294.8,1733903
858,2018-07-06 00:00:00+05:30,1323.15,1335.4,1309.05,1325.0,1662920
859,2018-07-09 00:00:00+05:30,1363.1,1367.9,1325.25,1330.0,1391869
860,2018-07-10 00:00:00+05:30,1370.45,1375.5,1355.0,1362.8,796987
861,2018-07-11 00:00:00+05:30,1359.8,1384.75,1357.35,1360.0,784238
862,2018-07-12 00:00:00+05:30,1357.9,1379.0,1346.0,1370.0,953054
863,2018-07-13 00:00:00+05:30,1367.8,1374.4,1358.7,1359.5,655594
864,2018-07-16 00:00:00+05:30,1359.55,1394.9,1351.1,1370.0,1234066
865,2018-07-17 00:00:00+05:30,1376.25,1383.5,1353.1,1365.4,1166581
866,2018-07-18 00:00:00+05:30,1393.0,1399.95,1377.55,1386.0,1085504
867,2018-07-19 00:00:00+05:30,1403.0,1408.5,1393.95,1395.0,848175
868,2018-07-20 00:00:00+05:30,1396.45,1404.75,1381.5,1403.0,575194
869,2018-07-23 00:00:00+05:30,1433.2,1464.4,1396.6,1425.1,1975242
870,2018-07-24 00:00:00+05:30,1467.75,1476.2,1425.5,1443.0,2171087
871,2018-07-25 00:00:00+05:30,1450.15,1490.6,1421.35,1453.0,4310816
872,2018-07-26 00:00:00+05:30,1433.85,1457.85,1422.25,1448.1,1732715
873,2018-07-27 00:00:00+05:30,1434.85,1454.0,1425.35,1437.0,630981
874,2018-07-30 00:00:00+05:30,1430.2,1451.85,1427.0,1434.25,750392
875,2018-07-31 00:00:00+05:30,1451.4,1456.6,1426.0,1430.0,1221636
876,2018-08-01 00:00:00+05:30,1437.2,1459.95,1430.8,1458.0,1121286
877,2018-08-02 00:00:00+05:30,1418.4,1443.9,1414.85,1437.2,836564
878,2018-08-03 00:00:00+05:30,1411.85,1426.25,1407.0,1424.0,1002287
879,2018-08-06 00:00:00+05:30,1397.4,1420.9,1394.7,1420.0,795996
880,2018-08-07 00:00:00+05:30,1424.25,1438.0,1399.0,1399.0,1915936
881,2018-08-08 00:00:00+05:30,1425.75,1447.65,1417.0,1430.95,1063862
882,2018-08-09 00:00:00+05:30,1417.35,1433.95,1414.1,1431.9,903734
883,2018-08-10 00:00:00+05:30,1418.6,1439.9,1409.25,1420.0,997053
884,2018-08-13 00:00:00+05:30,1399.25,1421.6,1397.0,1414.0,875198
885,2018-08-14 00:00:00+05:30,1395.1,1416.7,1391.55,1407.9,729379
886,2018-08-16 00:00:00+05:30,1394.8,1410.0,1387.0,1401.0,1050412
887,2018-08-17 00:00:00+05:30,1400.65,1405.15,1390.0,1403.0,537229
888,2018-08-20 00:00:00+05:30,1409.1,1431.0,1398.0,1406.0,1259905
